area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths
India,15/03/2020,3.003,3.419,2.599,1841,2350,1385,0,1,0
India,16/03/2020,2.537,2.876,2.225,1867,2301,1469,1,2,0
India,17/03/2020,2.537,2.876,2.225,2239,2767,1758,1,2,0
India,18/03/2020,2.537,2.876,2.225,2646,3280,2074,1,2,0
India,19/03/2020,2.537,2.876,2.225,3103,3868,2413,1,2,0
India,20/03/2020,2.537,2.876,2.225,3629,4576,2801,1,3,0
India,21/03/2020,2.537,2.876,2.225,4243,5410,3240,2,3,0
India,22/03/2020,2.537,2.876,2.225,4962,6381,3740,2,4,0
India,23/03/2020,1.797,2.034,1.567,4073,4982,3266,3,5,0
India,24/03/2020,1.797,2.034,1.567,4702,5768,3755,3,5,1
India,25/03/2020,1.797,2.034,1.567,5291,6524,4190,3,6,1
India,26/03/2020,1.797,2.034,1.567,5864,7264,4614,4,7,1
India,27/03/2020,1.797,2.034,1.567,6455,8070,5032,5,8,2
India,28/03/2020,1.797,2.034,1.567,7090,8932,5469,6,9,2
India,29/03/2020,1.797,2.034,1.567,7784,9898,5928,7,10,3
India,30/03/2020,1.331,1.514,1.148,6279,7695,5010,8,11,3
India,31/03/2020,1.331,1.514,1.148,6831,8414,5424,9,13,4
India,01/04/2020,1.331,1.514,1.148,7298,9026,5753,10,15,5
India,02/04/2020,1.331,1.514,1.148,7702,9579,6015,12,16,6
India,03/04/2020,1.331,1.514,1.148,8078,10105,6230,13,18,7
India,04/04/2020,1.331,1.514,1.148,8450,10669,6427,15,20,8
India,05/04/2020,1.331,1.514,1.148,8834,11274,6613,16,23,9
India,06/04/2020,1.325,1.498,1.157,9108,11136,7270,18,25,10
India,07/04/2020,1.325,1.498,1.157,9503,11632,7568,20,27,12
India,08/04/2020,1.325,1.498,1.157,9917,12188,7864,22,30,13
India,09/04/2020,1.325,1.498,1.157,10350,12782,8153,24,33,15
India,10/04/2020,1.325,1.498,1.157,10804,13442,8437,27,35,16
India,11/04/2020,1.325,1.498,1.157,11279,14152,8692,29,38,18
India,12/04/2020,1.324,1.498,1.157,11776,14912,8991,31,40,19
India,13/04/2020,1.371,1.573,1.191,12624,15417,10093,34,44,20
India,14/04/2020,1.371,1.573,1.191,13175,16131,10518,36,46,22
India,15/04/2020,1.371,1.573,1.191,13786,16968,10920,38,49,24
India,16/04/2020,1.371,1.573,1.191,14451,17932,11356,40,53,26
India,17/04/2020,1.371,1.573,1.191,15163,18923,11809,43,56,27
India,18/04/2020,1.371,1.573,1.191,15919,20052,12240,45,58,29
India,19/04/2020,1.371,1.573,1.191,16717,21306,12680,47,61,30
India,20/04/2020,1.213,1.382,1.05,15402,18909,12282,50,65,33
India,21/04/2020,1.213,1.382,1.05,16106,19857,12796,52,68,34
India,22/04/2020,1.213,1.382,1.05,16734,20713,13199,55,71,36
India,23/04/2020,1.213,1.382,1.05,17306,21562,13542,58,74,38
India,24/04/2020,1.213,1.382,1.05,17855,22414,13807,61,78,40
India,25/04/2020,1.213,1.382,1.05,18403,23315,14077,64,81,42
India,26/04/2020,1.213,1.382,1.05,18961,24288,14320,66,85,44
India,27/04/2020,1.127,1.281,0.974,17988,22030,14332,70,89,46
India,28/04/2020,1.127,1.281,0.974,18476,22671,14699,73,94,48
India,29/04/2020,1.127,1.281,0.974,18912,23319,14942,76,97,51
India,30/04/2020,1.127,1.281,0.974,19309,23958,15143,80,101,53
India,01/05/2020,1.127,1.281,0.974,19688,24657,15282,83,105,56
India,02/05/2020,1.127,1.281,0.974,20063,25302,15411,85,108,57
India,03/05/2020,1.127,1.281,0.974,20443,25964,15446,89,113,60
India,04/05/2020,1.235,1.397,1.074,22625,27723,18181,93,117,62
India,05/05/2020,1.235,1.397,1.074,23063,28333,18489,96,121,64
India,06/05/2020,1.235,1.397,1.074,23638,29119,18787,99,126,67
India,07/05/2020,1.235,1.397,1.074,24323,30194,19180,103,131,69
India,08/05/2020,1.235,1.397,1.074,25082,31318,19650,106,135,72
India,09/05/2020,1.235,1.397,1.074,25892,32576,20057,111,140,75
