a1$Date	cumulative_reported_cases	cumulative_unreported_cases	cumulative_removed
2020-03-15	158	757	284
2020-03-16	287	794	493
2020-03-17	533	872	683
2020-03-18	906	989	912
2020-03-19	1429	1157	1219
2020-03-20	2157	1392	1637
2020-03-21	3171	1725	2213
2020-03-22	4585	2195	3015
2020-03-23	6556	2858	4131
2020-03-24	9300	3795	5690
2020-03-25	9354	8888	7868
2020-03-26	9429	16011	10916
2020-03-27	9518	24550	15333
2020-03-28	9620	34512	21187
2020-03-29	9737	46215	28497
2020-03-30	9873	60100	37379
2020-03-31	10033	76684	48052
2020-04-01	10221	96556	60838
2020-04-02	10443	120415	76152
2020-04-03	10706	149098	94506
2020-04-04	11018	183610	116526
2020-04-05	11387	225173	142971
2020-04-06	11825	275277	174760
2020-04-07	12345	335722	213020
2020-04-08	12964	408711	259106
2020-04-09	13700	496906	314673
2020-04-10	14577	603551	381728
2020-04-11	15623	732610	462718
2020-04-12	16873	888891	560612
2020-04-13	18365	1078260	679032
2020-04-14	20150	1307876	822370
2020-04-15	21613	1587126	996005
2020-04-16	23353	1926101	1206483
2020-04-17	25067	2259851	1461797
2020-04-18	26672	2570031	1744662
2020-04-19	28165	2855727	2037419
2020-04-20	29565	3120829	2328185
2020-04-21	30891	3369315	2610510
2020-04-22	32155	3604100	2881579
2020-04-23	33365	3827092	3140519
2020-04-24	34527	4039502	3387448
2020-04-25	35643	4242145	3622842
2020-04-26	36717	4435614	3847304
2020-04-27	37751	4620417	4061435
2020-04-28	38747	4797005	4265800
2020-04-29	39705	4965802	4460917
2020-04-30	40629	5127203	4647287
2020-05-01	41519	5281581	4825369
2020-05-02	42377	5429304	4995582
2020-05-03	43205	5570719	5158340
2020-05-04	47019	5703134	5314038
2020-05-05	50690	5829989	5463029
2020-05-06	54518	5963493	5605546
2020-05-07	58566	6106078	5746117
2020-05-08	62822	6257286	5888588
2020-05-09	67268	6416348	6035339
2020-05-10	71894	6582873	6187655
2020-05-11	76696	6756872	6346248
2020-05-12	81677	6938609	6511578
2020-05-13	86849	7128489	6684066
2020-05-14	92219	7326989	6864104
2020-05-15	97800	7534638	7052127
2020-05-16	103604	7752003	7248610
2020-05-17	109642	7979689	7454061
2020-05-18	114040	8220238	7669021
2020-05-19	118583	8472540	7894074
2020-05-20	123355	8740853	8129914
2020-05-21	128380	9026633	8378462
2020-05-22	133665	9330685	8641450
2020-05-23	139217	9653857	8920288
2020-05-24	145049	9997186	9216196
2020-05-25	151172	10361875	9530314
2020-05-26	157604	10749295	9863814
2020-05-27	164361	11160907	10217968
2020-05-28	171463	11598308	10594072
2020-05-29	178931	12063175	10993551
2020-05-30	186783	12557298	11417935
2020-05-31	195041	13082594	11868855
2020-06-01	203415	13641392	12348009
2020-06-02	212210	14235597	12857254
2020-06-03	221264	14848034	13398554
2020-06-04	230547	15475479	13967224
2020-06-05	240074	16119130	14559064
2020-06-06	249866	16780940	15171753
2020-06-07	259944	17462498	15804463
2020-06-08	270315	18164886	16457187
2020-06-09	280994	18888935	17130291
2020-06-10	291989	19635307	17824336
2020-06-11	303308	20404571	18539877
2020-06-12	314958	21197354	19277529
2020-06-13	326949	22014205	20037876
2020-06-14	339289	22855747	20821492
2020-06-15	351987	23722532	21628986
2020-06-16	365051	24615231	22460957
2020-06-17	378490	25534432	23317986
2020-06-18	392316	26480752	24200708
2020-06-19	406536	27454799	25109763
2020-06-20	421160	28457198	26045732
2020-06-21	436198	29488564	27009253
2020-06-22	451658	30549521	28000948
2020-06-23	467552	31640700	29021438
2020-06-24	483886	32762722	30071355
2020-06-25	500673	33916185	31151306
2020-06-26	517923	35101723	32261962
2020-06-27	535645	36319902	33403934
2020-06-28	553850	37571338	34577807
2020-06-29	572545	38856619	35784213
2020-06-30	591742	40176317	37023797
2020-07-01	611744	41530718	38297103
2020-07-02	632275	42920655	39604755
2020-07-03	653620	44369778	40947327
2020-07-04	675861	45884235	42333449
2020-07-05	699009	47464759	43770893
2020-07-06	723076	49111490	45265055
2020-07-07	748071	50825090	46819464
2020-07-08	774010	52606822	48436695
2020-07-09	800922	54458337	50118882
2020-07-10	828834	56381540	51867996
2020-07-11	857774	58378286	53685950
2020-07-12	887775	60450491	55574714
2020-07-13	918860	62600033	57536201
2020-07-14	951065	64828723	59572380
2020-07-15	984414	67138344	61685092
2020-07-16	1018942	69530619	63876239
2020-07-17	1054677	72007184	66147666
2020-07-18	1091641	74569493	68501095
2020-07-19	1129871	77219102	70938228
2020-07-20	1169390	79957274	73460669
2020-07-21	1210227	82785295	76069987
2020-07-22	1252404	85704181	78767602
2020-07-23	1295953	88714882	81554819
2020-07-24	1340894	91818147	84432859
2020-07-25	1387249	95014638	87402775
2020-07-26	1435047	98304770	90465459
2020-07-27	1484305	101688753	93621687
2020-07-28	1535036	105166670	96872010
2020-07-29	1587274	108738225	100216805
2020-07-30	1641019	112403058	103656322
2020-07-31	1696293	116160445	107190546
2020-08-01	1747607	120015034	110819263
2020-08-02	1800320	123960360	114541959
2020-08-03	1854153	128016375	118358142
2020-08-04	1909028	132186007	122274297
2020-08-05	1964940	136466797	126295467
2020-08-06	2021900	140855321	130424156
2020-08-07	2079913	145348257	134660782
2020-08-08	2138961	149942539	139004491
2020-08-09	2199032	154634920	143453668
2020-08-10	2260104	159421977	148006122
2020-08-11	2322146	164299899	152659163
2020-08-12	2385138	169264432	157409804
2020-08-13	2449026	174310800	162254612
2020-08-14	2513783	179433957	167189586
2020-08-15	2579364	184628388	172210468
2020-08-16	2645718	189888239	177312445
2020-08-17	2712813	195207211	182490413
2020-08-18	2780580	200578690	187738823
2020-08-19	2848980	205995859	193051735
2020-08-20	2917958	211451522	198422883
2020-08-21	2987453	216938290	203845711
2020-08-22	3057409	222448653	209313332
2020-08-23	3127773	227975047	214818542
