"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Untested_Infected_Mean","Current_Untested_Infected_Upper_CI","Current_Untested_Infected_Lower_CI","Current_False_Negative_Mean","Current_False_Negative_Upper_CI","Current_False_Negative_Lower_CI","Total_Reported_Recovered_Mean","Total_Reported_Recovered_Upper_CI","Total_Reported_Recovered_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Recovered_Mean","Total_Unreported_Recovered_Upper_CI","Total_Unreported_Recovered_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","place"
2020-03-15,108,108,108,873,873,873,46,46,46,3,3,3,1,1,1,18,18,18,6,6,6,"India"
2020-03-16,221,242,200,1214,1252,1180,95,110,80,9,14,5,1,2,1,101,116,84,6,8,6,"India"
2020-03-17,308,339,282,1455,1500,1406,135,154,113,21,30,14,1,3,1,216,240,190,7,9,6,"India"
2020-03-18,377,410,345,1621,1676,1565,166,187,143,38,50,27,2,3,1,356,389,324,7,10,6,"India"
2020-03-19,432,469,397,1736,1799,1673,191,216,166,58,72,45,2,4,1,512,553,475,8,12,6,"India"
2020-03-20,475,515,436,1814,1879,1748,213,239,185,82,100,66,2,5,1,679,723,634,9,13,6,"India"
2020-03-21,510,556,468,1868,1936,1805,231,260,201,109,129,90,3,6,1,854,904,802,10,14,7,"India"
2020-03-22,539,581,498,1900,1975,1827,247,279,216,137,160,115,3,7,1,1035,1090,982,11,15,7,"India"
2020-03-23,565,605,522,1922,1995,1851,261,292,232,167,193,142,4,8,1,1218,1275,1161,11,17,7,"India"
2020-03-24,586,628,546,1934,2007,1864,273,306,244,199,225,172,4,8,1,1406,1464,1346,12,17,8,"India"
2020-03-25,599,642,555,1950,2030,1872,282,316,252,231,261,202,5,9,2,1593,1655,1530,13,19,9,"India"
2020-03-26,638,682,595,2078,2167,1996,302,340,271,264,293,233,6,10,2,1784,1845,1716,14,20,9,"India"
2020-03-27,696,749,646,2292,2389,2197,330,368,298,299,334,264,6,11,2,1987,2051,1917,15,21,9,"India"
2020-03-28,771,826,718,2571,2685,2467,366,407,328,337,371,301,7,12,3,2212,2280,2134,16,23,10,"India"
2020-03-29,862,927,804,2912,3045,2795,409,452,370,380,417,342,8,13,3,2463,2543,2385,18,24,12,"India"
2020-03-30,968,1040,907,3315,3457,3180,459,508,420,428,465,386,9,14,4,2747,2838,2667,19,26,12,"India"
2020-03-31,1093,1174,1029,3780,3932,3631,518,569,474,481,522,438,10,15,5,3070,3162,2984,20,28,14,"India"
2020-04-01,1238,1321,1166,4311,4500,4141,585,639,537,541,584,494,11,16,5,3439,3551,3344,22,30,15,"India"
2020-04-02,1403,1498,1324,4923,5122,4729,662,723,607,609,657,561,12,18,6,3859,3983,3757,24,33,17,"India"
2020-04-03,1593,1699,1503,5621,5844,5385,751,814,689,687,735,636,13,20,7,4338,4465,4227,27,35,18,"India"
2020-04-04,1810,1919,1710,6412,6655,6155,851,921,781,775,828,723,15,22,8,4886,5032,4756,29,39,21,"India"
2020-04-05,2057,2175,1947,7318,7612,7024,966,1046,898,874,936,819,16,24,9,5509,5677,5357,32,43,23,"India"
2020-04-06,2337,2462,2220,8352,8710,8013,1098,1182,1021,987,1050,925,18,27,10,6220,6408,6052,36,48,26,"India"
2020-04-07,2657,2791,2530,9530,9930,9116,1249,1344,1162,1117,1189,1055,21,30,12,7032,7236,6839,40,52,28,"India"
2020-04-08,3024,3169,2883,10863,11321,10402,1420,1527,1325,1264,1343,1193,23,33,14,7958,8205,7718,44,57,32,"India"
2020-04-09,3443,3614,3289,12391,12932,11886,1614,1739,1515,1431,1516,1352,26,37,17,9012,9304,8738,49,62,36,"India"
2020-04-10,3918,4123,3732,14132,14734,13546,1835,1959,1727,1620,1716,1536,29,41,19,10213,10536,9903,55,69,41,"India"
2020-04-11,4464,4681,4271,16111,16825,15483,2089,2227,1970,1835,1935,1740,33,45,22,11588,11954,11220,61,76,46,"India"
2020-04-12,5081,5322,4861,18364,19164,17666,2378,2534,2245,2082,2197,1978,37,50,26,13151,13563,12706,69,85,53,"India"
2020-04-13,5787,6066,5538,20934,21845,20099,2707,2868,2550,2363,2487,2246,42,55,29,14929,15415,14453,77,95,61,"India"
2020-04-14,6594,6921,6306,23869,24938,22901,3083,3273,2921,2682,2815,2563,48,62,33,16960,17519,16411,87,105,68,"India"
2020-04-15,7814,8210,7468,26762,27931,25652,3641,3839,3455,3048,3187,2911,54,68,40,19280,19916,18649,98,116,80,"India"
2020-04-16,8854,9287,8463,29028,30354,27825,4129,4352,3912,3478,3635,3327,61,78,47,21884,22625,21142,110,132,91,"India"
2020-04-17,9769,10234,9342,30872,32246,29593,4568,4811,4330,3965,4147,3787,70,86,55,24714,25581,23859,124,146,104,"India"
2020-04-18,10600,11090,10140,32443,33944,31091,4976,5232,4736,4505,4711,4317,79,96,63,27730,28683,26726,139,165,118,"India"
2020-04-19,11376,11895,10908,33851,35434,32380,5364,5630,5098,5092,5326,4880,89,106,72,30906,32016,29802,155,181,133,"India"
2020-04-20,12121,12670,11599,35161,36857,33619,5741,6033,5451,5722,5981,5478,100,120,81,34229,35493,32989,173,200,149,"India"
2020-04-21,12849,13422,12304,36421,38129,34834,6111,6419,5813,6392,6693,6127,112,132,92,37684,39067,36293,191,220,165,"India"
2020-04-22,13565,14214,12993,37669,39423,36014,6485,6804,6171,7101,7429,6817,124,145,103,41272,42815,39746,210,240,182,"India"
2020-04-23,14281,14948,13701,38928,40845,37167,6859,7197,6520,7847,8200,7539,137,160,114,44986,46675,43320,229,263,198,"India"
2020-04-24,15000,15676,14407,40218,42200,38369,7239,7611,6902,8635,9015,8286,150,176,126,48828,50698,47001,250,287,218,"India"
2020-04-25,15727,16431,15116,41545,43599,39626,7623,8002,7265,9464,9885,9078,165,191,139,52808,54822,50817,271,310,238,"India"
2020-04-26,16471,17155,15820,42929,45065,40901,8018,8405,7653,10332,10786,9911,180,206,153,56919,59154,54779,293,333,259,"India"
2020-04-27,17229,17974,16527,44362,46591,42260,8418,8830,8036,11242,11739,10784,196,222,167,61182,63611,58813,316,356,280,"India"
2020-04-28,18005,18792,17283,45856,48140,43615,8830,9258,8425,12191,12746,11708,212,240,183,65589,68244,63041,341,383,306,"India"
2020-04-29,18799,19648,18032,47422,49825,45117,9250,9706,8815,13185,13761,12664,229,259,196,70150,73078,67436,366,408,329,"India"
