area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Observed Deaths
India,15/03/2020,3.056,3.609,2.554,3820,6063,2380,0,2,0,0
India,16/03/2020,2.563,3.04,2.163,3861,6072,2515,0,2,0,0
India,17/03/2020,2.563,3.04,2.163,4645,7332,3006,0,2,0,1
India,18/03/2020,2.563,3.04,2.163,5504,8736,3553,0,3,0,0
India,19/03/2020,2.563,3.04,2.163,6469,10372,4144,1,3,0,1
India,20/03/2020,2.563,3.04,2.163,7584,12167,4821,1,3,0,0
India,21/03/2020,2.563,3.04,2.163,8886,14365,5576,1,4,0,0
India,22/03/2020,2.563,3.04,2.163,10415,16952,6417,1,4,0,3
India,23/03/2020,1.801,2.096,1.51,8490,13284,5575,2,5,0,2
India,24/03/2020,1.8,2.096,1.51,9820,15421,6379,2,6,0,1
India,25/03/2020,1.8,2.096,1.51,11063,17525,7150,3,7,0,1
India,26/03/2020,1.8,2.096,1.51,12267,19490,7878,3,8,1,5
India,27/03/2020,1.8,2.096,1.51,13509,21546,8624,4,9,1,3
India,28/03/2020,1.8,2.096,1.51,14842,23707,9377,5,10,1,5
India,29/03/2020,1.8,2.096,1.51,16299,26353,10155,6,11,2,3
India,30/03/2020,1.325,1.555,1.077,13050,20818,8541,7,13,3,14
India,31/03/2020,1.325,1.555,1.077,14201,22762,9230,8,14,3,6
India,01/04/2020,1.325,1.555,1.077,15169,24322,9799,9,16,4,6
India,02/04/2020,1.325,1.555,1.077,15999,25749,10245,10,18,5,16
India,03/04/2020,1.325,1.555,1.077,16768,27121,10618,12,21,6,14
India,04/04/2020,1.325,1.555,1.077,17529,28507,10982,13,23,7,13
India,05/04/2020,1.325,1.555,1.077,18311,29907,11293,15,25,8,22
India,06/04/2020,1.319,1.544,1.112,18883,29858,12462,17,27,9,16
India,07/04/2020,1.319,1.544,1.112,19685,31190,12984,19,30,10,27
India,08/04/2020,1.319,1.544,1.112,20526,32549,13460,21,33,11,20
India,09/04/2020,1.319,1.544,1.112,21407,34016,13920,23,36,13,46
India,10/04/2020,1.319,1.544,1.112,22328,35515,14386,25,39,14,22
India,11/04/2020,1.319,1.544,1.112,23293,37213,14849,27,42,16,41
India,12/04/2020,1.319,1.544,1.112,24304,38837,15287,29,44,17,42
India,13/04/2020,1.379,1.643,1.156,26294,41438,17350,31,48,18,27
India,14/04/2020,1.378,1.643,1.156,27431,43515,18066,33,50,20,37
India,15/04/2020,1.378,1.643,1.156,28707,45619,18793,36,54,21,27
India,16/04/2020,1.378,1.643,1.156,30108,47890,19500,38,57,23,26
India,17/04/2020,1.378,1.643,1.156,31614,50495,20232,40,60,24,38
India,18/04/2020,1.378,1.643,1.156,33217,53511,20955,43,63,25,35
India,19/04/2020,1.378,1.643,1.156,34911,56615,21682,44,66,27,38
India,20/04/2020,1.212,1.438,1.006,31978,50399,20825,47,71,29,33
India,21/04/2020,1.212,1.437,1.006,33462,52649,21754,49,73,30,53
India,22/04/2020,1.212,1.437,1.006,34777,54567,22442,52,77,32,36
India,23/04/2020,1.212,1.437,1.006,35967,56690,22983,55,80,34,40
India,24/04/2020,1.212,1.437,1.006,37104,58813,23443,57,84,35,59
India,25/04/2020,1.212,1.437,1.006,38237,60870,23854,60,88,37,44
India,26/04/2020,1.212,1.437,1.006,39390,63032,24202,63,92,39,56
India,27/04/2020,1.128,1.328,0.93,37463,59408,24404,66,97,41,58
India,28/04/2020,1.128,1.328,0.93,38474,61034,24998,70,101,43,69
India,29/04/2020,1.128,1.328,0.93,39381,62483,25399,72,105,46,71
India,30/04/2020,1.128,1.328,0.93,40209,63923,25717,76,110,47,75
India,01/05/2020,1.128,1.327,0.93,41000,65316,25871,79,113,50,77
India,02/05/2020,1.128,1.327,0.929,41785,66910,26092,81,117,51,92
India,03/05/2020,1.128,1.327,0.929,42581,68219,26111,85,121,54,140
India,04/05/2020,1.235,1.451,1.031,47102,74345,30955,88,128,56,103
India,05/05/2020,1.235,1.451,1.031,48023,75997,31492,91,130,58,128
India,06/05/2020,1.235,1.451,1.031,49224,78206,32034,95,136,60,91
India,07/05/2020,1.235,1.451,1.031,50653,80726,32818,98,142,63,104
India,08/05/2020,1.235,1.451,1.031,52234,83955,33520,102,145,65,97
India,09/05/2020,1.235,1.451,1.031,53920,87113,34210,105,150,68,115
India,10/05/2020,1.235,1.451,1.031,55691,90550,34891,107,154,69,112
India,11/05/2020,1.428,1.667,1.199,66043,104183,43257,110,157,71,81
India,12/05/2020,1.428,1.667,1.199,68354,108551,44757,114,164,72,120
India,13/05/2020,1.428,1.667,1.199,71395,113571,46424,117,167,76,137
India,14/05/2020,1.428,1.667,1.199,75047,119287,48310,121,172,79,97
India,15/05/2020,1.428,1.667,1.199,79141,126525,50396,123,175,79,104
India,16/05/2020,1.428,1.667,1.199,83577,134167,52485,128,181,82,120
India,17/05/2020,1.428,1.667,1.199,88312,141971,54737,131,187,85,152
India,18/05/2020,1.516,1.777,1.284,98258,154234,64664,135,191,88,131
India,19/05/2020,1.515,1.777,1.284,103854,163393,67939,138,198,89,146
India,20/05/2020,1.515,1.776,1.284,110224,173594,71801,142,204,93,134
India,21/05/2020,1.515,1.776,1.284,117312,185929,75778,147,206,94,148
India,22/05/2020,1.515,1.776,1.284,125032,198413,80068,153,216,100,142
India,23/05/2020,1.515,1.776,1.284,133349,212434,84468,158,225,103,142
India,24/05/2020,1.515,1.776,1.283,142266,228060,88691,165,232,108,156
India,25/05/2020,1.308,1.548,1.1,129946,204107,85873,171,243,112,150
India,26/05/2020,1.308,1.548,1.099,137953,216972,90894,178,251,115,173
India,27/05/2020,1.307,1.548,1.099,145234,228789,95106,186,264,123,188
India,28/05/2020,1.307,1.548,1.099,152013,239990,98778,195,275,127,176
India,29/05/2020,1.307,1.548,1.099,158638,250891,102063,204,287,134,269
India,30/05/2020,1.307,1.547,1.099,165356,263477,105252,216,305,139,205
India,31/05/2020,1.307,1.547,1.099,172311,277385,107944,228,318,148,222
India,01/06/2020,0.96,1.145,0.778,130826,206411,85515,239,339,159,201
India,02/06/2020,0.96,1.145,0.778,135264,214308,88370,250,350,164,222
India,03/06/2020,0.96,1.145,0.778,137760,219968,89629,265,373,175,259
India,04/06/2020,0.96,1.145,0.778,138721,222542,89425,277,389,182,274
India,05/06/2020,0.96,1.145,0.778,138789,223235,88492,293,409,194,286
India,06/06/2020,0.96,1.144,0.778,138420,222744,87184,307,432,203,297
India,07/06/2020,0.96,1.144,0.778,137881,223353,85395,323,454,213,261
India,08/06/2020,0.872,1.045,0.705,123760,194982,80503,336,471,221,271
India,09/06/2020,0.872,1.045,0.705,122802,193315,79361,353,497,233,272
India,10/06/2020,0.872,1.045,0.705,121383,191221,78047,365,516,241,358
India,11/06/2020,0.872,1.045,0.705,119618,189044,76241,382,534,252,394
India,12/06/2020,0.872,1.045,0.705,117671,187303,74095,394,550,263,388
India,13/06/2020,0.872,1.045,0.705,115657,184292,71684,405,565,269,309
India,14/06/2020,0.872,1.045,0.705,113648,182575,69060,416,585,275,324
India,15/06/2020,1.061,1.259,0.883,134742,211129,87471,426,591,287,396
India,16/06/2020,1.061,1.259,0.883,132615,208652,85403,434,601,286,2004
India,17/06/2020,1.061,1.259,0.883,131830,208165,84326,442,612,295,341
India,18/06/2020,1.06,1.259,0.883,132064,209607,83532,448,622,300,343
India,19/06/2020,1.06,1.259,0.883,132885,211089,83234,455,633,301,364
India,20/06/2020,1.06,1.258,0.882,134008,213996,82818,459,636,306,308
India,21/06/2020,1.06,1.258,0.882,135262,217362,82530,459,642,305,426
India,22/06/2020,1.245,1.489,1.037,158793,249510,104638,461,644,306,312
India,23/06/2020,1.245,1.488,1.037,160655,252721,105563,465,646,306,468
India,24/06/2020,1.245,1.488,1.037,164022,258072,107163,466,645,311,424
India,25/06/2020,1.244,1.488,1.037,168574,265953,109127,465,655,310,401
India,26/06/2020,1.244,1.488,1.037,173875,277351,111561,465,653,311,381
India,27/06/2020,1.244,1.488,1.037,179645,287575,113853,466,646,309,414
India,28/06/2020,1.244,1.488,1.037,185703,300046,115928,466,653,311,384
India,29/06/2020,1.261,1.488,1.054,193160,301742,127265,467,658,311,417
India,30/06/2020,1.26,1.487,1.054,199513,312752,131148,468,654,309,506
India,01/07/2020,1.26,1.487,1.054,206318,324395,134660,468,653,311,438
India,02/07/2020,1.26,1.487,1.054,213531,338186,138243,473,666,314,378
India,03/07/2020,1.26,1.486,1.054,221101,351138,141417,475,662,313,444
India,04/07/2020,1.26,1.486,1.054,229005,365186,145129,480,672,321,611
India,05/07/2020,1.259,1.486,1.054,237232,380424,148011,482,669,322,421
India,06/07/2020,1.157,1.361,0.96,223947,350713,146727,490,679,326,473
India,07/07/2020,1.157,1.361,0.96,231247,361805,151224,498,696,331,479
India,08/07/2020,1.156,1.361,0.96,237784,373632,154611,508,714,333,492
India,09/07/2020,1.156,1.361,0.96,243752,384296,156933,512,714,339,479
