area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,Total Infections Mean,Total UpperCI Infections,Total LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Total ExpDeaths Mean,Total UpperCI ExpDeaths,Total LowerCI ExpDeaths,Observed Deaths
India,15/03/2020,3.056,3.609,2.554,3820,6063,2380,21632,34333,13568,0,2,0,2,5,0,0
India,16/03/2020,2.563,3.04,2.163,3861,6072,2515,25493,40279,16203,0,2,0,2,6,0,0
India,17/03/2020,2.563,3.04,2.163,4645,7332,3006,30139,47453,19247,0,2,0,3,7,1,1
India,18/03/2020,2.563,3.04,2.163,5504,8736,3553,35643,56146,22969,0,3,0,4,8,1,0
India,19/03/2020,2.563,3.04,2.163,6469,10372,4144,42113,66051,27255,1,3,0,5,10,2,1
India,20/03/2020,2.563,3.04,2.163,7584,12167,4821,49697,77849,32319,1,3,0,6,12,2,0
India,21/03/2020,2.563,3.04,2.163,8886,14365,5576,58584,91977,38081,1,4,0,8,14,3,0
India,22/03/2020,2.563,3.04,2.163,10415,16952,6417,69000,108908,44725,1,4,0,9,17,4,3
India,23/03/2020,1.801,2.096,1.51,8490,13284,5575,77491,121900,50445,2,5,0,12,20,6,2
India,24/03/2020,1.8,2.096,1.51,9820,15421,6379,87311,137583,57036,2,6,0,14,23,8,1
India,25/03/2020,1.8,2.096,1.51,11063,17525,7150,98375,154402,64455,3,7,0,18,27,10,1
India,26/03/2020,1.8,2.096,1.51,12267,19490,7878,110643,173026,72371,3,8,1,21,32,13,5
India,27/03/2020,1.8,2.096,1.51,13509,21546,8624,124153,194047,81312,4,9,1,26,38,16,3
India,28/03/2020,1.8,2.096,1.51,14842,23707,9377,138995,217297,91208,5,10,1,31,44,20,5
India,29/03/2020,1.8,2.096,1.51,16299,26353,10155,155295,242246,101970,6,11,2,37,52,25,3
India,30/03/2020,1.325,1.555,1.077,13050,20818,8541,168345,262855,111008,7,13,3,44,61,31,14
India,31/03/2020,1.325,1.555,1.077,14201,22762,9230,182546,285376,120513,8,14,3,53,71,37,6
India,01/04/2020,1.325,1.555,1.077,15169,24322,9799,197715,309743,130915,9,16,4,62,82,45,6
India,02/04/2020,1.325,1.555,1.077,15999,25749,10245,213715,335450,141908,10,18,5,73,95,54,16
India,03/04/2020,1.325,1.555,1.077,16768,27121,10618,230484,361220,153361,12,21,6,86,109,64,14
India,04/04/2020,1.325,1.555,1.077,17529,28507,10982,248014,387857,164654,13,23,7,99,126,76,13
