"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Unreported_Infected_Mean","Current_Unreported_Infected_Upper_CI","Current_Unreported_Infected_Lower_CI","Total_Current_Cases_Mean","Total_Current_Cases_Upper_CI","Total_Current_Cases_Lower_CI","Cum_Reported_Cases_Mean","Cum_Reported_Cases_Upper_CI","Cum_Reported_Cases_Lower_CI","Cum_Unreported_Cases_Mean","Cum_Unreported_Cases_Upper_CI","Cum_Unreported_Cases_Lower_CI","Total_Cum_Cases_Mean","Total_Cum_Cases_Upper_CI","Total_Cum_Cases_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","Total_Deceased_Mean","Total_Deceased_Upper_CI","Total_Deceased_Lower_CI","place"
2020-03-15,108,108,108,919,919,919,1027,1027,1027,112,112,112,943,943,943,1055,1055,1055,1,1,1,6,6,6,7,7,7,"India"
2020-03-16,221,242,200,1309,1362,1260,1530,1604,1460,231,258,206,1416,1486,1350,1647,1744,1556,1,2,1,6,8,6,7,10,7,"India"
2020-03-17,308,339,282,1590,1654,1519,1898,1993,1801,330,372,297,1813,1903,1715,2143,2275,2012,1,3,1,7,9,6,8,12,7,"India"
2020-03-18,377,410,345,1787,1863,1708,2164,2273,2053,417,463,373,2150,2262,2038,2567,2725,2411,2,3,1,7,10,6,9,13,7,"India"
2020-03-19,432,469,397,1927,2015,1839,2359,2484,2236,492,545,443,2447,2580,2320,2939,3125,2763,2,4,1,8,12,6,10,16,7,"India"
2020-03-20,475,515,436,2027,2118,1933,2502,2633,2369,559,620,503,2715,2854,2573,3274,3474,3076,2,5,1,9,13,6,11,18,7,"India"
2020-03-21,510,556,468,2099,2196,2006,2609,2752,2474,622,691,559,2963,3114,2815,3585,3805,3374,3,6,1,10,14,7,13,20,8,"India"
2020-03-22,539,581,498,2147,2254,2043,2686,2835,2541,679,748,614,3193,3359,3032,3872,4107,3646,3,7,1,11,15,7,14,22,8,"India"
2020-03-23,565,605,522,2183,2287,2083,2748,2892,2605,736,806,665,3412,3579,3251,4148,4385,3916,4,8,1,11,17,7,15,25,8,"India"
2020-03-24,586,628,546,2207,2313,2108,2793,2941,2654,789,861,719,3625,3794,3462,4414,4655,4181,4,8,1,12,17,8,16,25,9,"India"
2020-03-25,599,642,555,2232,2346,2124,2831,2988,2679,835,912,759,3838,4020,3663,4673,4932,4422,5,9,2,13,19,9,18,28,11,"India"
2020-03-26,638,682,595,2380,2507,2267,3018,3189,2862,908,985,830,4178,4372,3992,5086,5357,4822,6,10,2,14,20,9,20,30,11,"India"
2020-03-27,696,749,646,2622,2757,2495,3318,3506,3141,1001,1094,912,4624,4829,4421,5625,5923,5333,6,11,2,15,21,9,21,32,11,"India"
2020-03-28,771,826,718,2937,3092,2795,3708,3918,3513,1115,1209,1022,5165,5395,4939,6280,6604,5961,7,12,3,16,23,10,23,35,13,"India"
2020-03-29,862,927,804,3321,3497,3165,4183,4424,3969,1250,1357,1149,5802,6064,5562,7052,7421,6711,8,13,3,18,24,12,26,37,15,"India"
2020-03-30,968,1040,907,3774,3965,3600,4742,5005,4507,1405,1519,1297,6540,6829,6279,7945,8348,7576,9,14,4,19,26,12,28,40,16,"India"
2020-03-31,1093,1174,1029,4298,4501,4105,5391,5675,5134,1584,1711,1472,7388,7691,7103,8972,9402,8575,10,15,5,20,28,14,30,43,19,"India"
2020-04-01,1238,1321,1166,4896,5139,4678,6134,6460,5844,1790,1921,1665,8357,8720,8037,10147,10641,9702,11,16,5,22,30,15,33,46,20,"India"
2020-04-02,1403,1498,1324,5585,5845,5336,6988,7343,6660,2024,2173,1891,9468,9861,9110,11492,12034,11001,12,18,6,24,33,17,36,51,23,"India"
2020-04-03,1593,1699,1503,6372,6658,6074,7965,8357,7577,2293,2454,2146,10737,11158,10319,13030,13612,12465,13,20,7,27,35,18,40,55,25,"India"
2020-04-04,1810,1919,1710,7263,7576,6936,9073,9495,8646,2600,2769,2441,12178,12647,11713,14778,15416,14154,15,22,8,29,39,21,44,61,29,"India"
2020-04-05,2057,2175,1947,8284,8658,7922,10341,10833,9869,2947,3135,2775,13825,14378,13302,16772,17513,16077,16,24,9,32,43,23,48,67,32,"India"
2020-04-06,2337,2462,2220,9450,9892,9034,11787,12354,11254,3342,3539,3155,15706,16348,15112,19048,19887,18267,18,27,10,36,48,26,54,75,36,"India"
2020-04-07,2657,2791,2530,10779,11274,10278,13436,14065,12808,3795,4010,3597,17851,18562,17145,21646,22572,20742,21,30,12,40,52,28,61,82,40,"India"
2020-04-08,3024,3169,2883,12283,12848,11727,15307,16017,14610,4311,4545,4090,20285,21110,19477,24596,25655,23567,23,33,14,44,57,32,67,90,46,"India"
2020-04-09,3443,3614,3289,14005,14671,13401,17448,18285,16690,4900,5167,4658,23066,24037,22175,27966,29204,26833,26,37,17,49,62,36,75,99,53,"India"
2020-04-10,3918,4123,3732,15967,16693,15273,19885,20816,19005,5567,5880,5287,26235,27298,25217,31802,33178,30504,29,41,19,55,69,41,84,110,60,"India"
2020-04-11,4464,4681,4271,18200,19052,17453,22664,23733,21724,6332,6661,6033,29849,31082,28719,36181,37743,34752,33,45,22,61,76,46,94,121,68,"India"
2020-04-12,5081,5322,4861,20742,21698,19911,25823,27020,24772,7200,7569,6865,33962,35346,32670,41162,42915,39535,37,50,26,69,85,53,106,135,79,"India"
2020-04-13,5787,6066,5538,23641,24713,22649,29428,30779,28187,8192,8608,7813,38647,40223,37163,46839,48831,44976,42,55,29,77,95,61,119,150,90,"India"
