date,esir.arc.estim,esir.arc.low,esir.arc.high,esir.crc.estim,esir.crc.low,esir.crc.high,esir.crd.estim,esir.crd.low,esir.crd.high,esir.arc.width,esir.crc.width,esir.crd.width
2020-10-16T00:00:00Z,822653,701172,951728,7446767,6973055,7936780,113125,107127,119270,250556,963725,12143
2020-10-17T00:00:00Z,833386,692954,983368,7522515,6975034,8088819,114235,107303,121323,290414,1113785,14020
2020-10-18T00:00:00Z,844157,686538,1015048,7599564,6987441,8235442,115366,107626,123282,328510,1248001,15656
2020-10-19T00:00:00Z,855152,681658,1044319,7677322,7007154,8378757,116505,108048,125226,362661,1371603,17178
2020-10-20T00:00:00Z,866387,677060,1073302,7756496,7030301,8519078,117665,108524,127124,396242,1488777,18600
2020-10-21T00:00:00Z,877694,672831,1102658,7836793,7055445,8659996,118843,109028,129026,429827,1604551,19998
2020-10-22T00:00:00Z,889105,669883,1131875,7917854,7084590,8796723,120032,109577,130859,461992,1712133,21282
2020-10-23T00:00:00Z,900774,667573,1160877,8000354,7114996,8935641,121241,110137,132733,493304,1820645,22596
2020-10-24T00:00:00Z,912480,665776,1189995,8083998,7150288,9074856,122468,110772,134609,524219,1924568,23837
2020-10-25T00:00:00Z,924379,664295,1220019,8168548,7187891,9213851,123709,111441,136466,555724,2025960,25025
2020-10-26T00:00:00Z,936676,662242,1249668,8253969,7223731,9354097,124957,112089,138352,587426,2130366,26263
2020-10-27T00:00:00Z,948958,661512,1277706,8340447,7266436,9493200,126223,112832,140246,616194,2226764,27414
2020-10-28T00:00:00Z,961471,660494,1307245,8428521,7304521,9633203,127513,113501,142129,646751,2328682,28628
2020-10-29T00:00:00Z,973988,660252,1338288,8517585,7348446,9774859,128820,114257,144013,678036,2426413,29756
2020-10-30T00:00:00Z,986914,660163,1368253,8608064,7390190,9919384,130144,114972,145967,708090,2529194,30995
2020-10-31T00:00:00Z,999887,659304,1400473,8699720,7438833,10068227,131486,115820,147954,741169,2629394,32134
2020-11-01T00:00:00Z,1012948,658876,1430066,8792406,7478866,10208876,132845,116512,149847,771190,2730010,33335
2020-11-02T00:00:00Z,1026376,659298,1463023,8886341,7530426,10362056,134220,117387,151896,803725,2831630,34509
2020-11-03T00:00:00Z,1040039,659413,1497940,8982395,7578877,10515417,135626,118213,153915,838527,2936540,35702
2020-11-04T00:00:00Z,1053717,659431,1529303,9078824,7626438,10670649,137038,119026,156027,869872,3044211,37001
2020-11-05T00:00:00Z,1067630,658600,1561106,9176963,7676675,10828037,138476,119900,158167,902506,3151362,38267
2020-11-06T00:00:00Z,1081848,660763,1595775,9276488,7731634,10985741,139932,120803,160264,935012,3254107,39461
2020-11-07T00:00:00Z,1096150,660977,1630226,9377293,7781533,11155092,141408,121653,162565,969249,3373559,40912
2020-11-08T00:00:00Z,1110715,661288,1663936,9478710,7832824,11316853,142891,122524,164747,1002648,3484029,42223
2020-11-09T00:00:00Z,1125547,662066,1698364,9582000,7886241,11474527,144400,123425,166848,1036298,3588286,43423
2020-11-10T00:00:00Z,1140599,660978,1737722,9687126,7941267,11650832,145938,124385,169181,1076744,3709565,44796
2020-11-11T00:00:00Z,1155775,662118,1771755,9792622,7993205,11823689,147480,125254,171549,1109637,3830484,46295
2020-11-12T00:00:00Z,1171159,664972,1808914,9900053,8046944,11998727,149051,126123,173899,1143942,3951783,47776
2020-11-13T00:00:00Z,1186867,664605,1847531,10008836,8097984,12178481,150639,127003,176305,1182926,4080497,49302
