date,icm.ctc.estim,icm.ctc.high,icm.ctc.low,icm.ctd.estim,icm.ctd.high,icm.ctd.low,icm.ctc.width,icm.ctd.width
2020-10-16T00:00:00Z,35517836,55410571,23944696,112692,117664,107919,31465875,9745
2020-10-17T00:00:00Z,35642709,55713442,24011612,113450,118394,108593,31701830,9801
2020-10-18T00:00:00Z,35765191,55946099,24075019,114190,119165,109263,31871080,9902
2020-10-19T00:00:00Z,35885358,56138441,24139977,114910,119952,109953,31998464,9999
2020-10-20T00:00:00Z,36003283,56562072,24191191,115614,120676,110698,32370881,9978
2020-10-21T00:00:00Z,36119034,56714346,24241893,116307,121442,111283,32472453,10159
2020-10-22T00:00:00Z,36232679,56867481,24290301,116979,122214,111947,32577180,10267
2020-10-23T00:00:00Z,36344280,57014529,24367493,117639,122931,112534,32647036,10397
2020-10-24T00:00:00Z,36453902,57199667,24432581,118286,123605,113083,32767086,10522
2020-10-25T00:00:00Z,36561604,57431234,24481617,118919,124343,113768,32949617,10575
2020-10-26T00:00:00Z,36667446,57590597,24549274,119534,125072,114267,33041323,10805
2020-10-27T00:00:00Z,36771484,57959680,24606405,120135,125827,114815,33353275,11012
2020-10-28T00:00:00Z,36873772,58204517,24642682,120723,126495,115305,33561835,11190
2020-10-29T00:00:00Z,36974365,58383315,24675056,121299,127234,115792,33708259,11442
2020-10-30T00:00:00Z,37073313,58521136,24745030,121862,127880,116278,33776106,11602
2020-10-31T00:00:00Z,37170666,58675616,24773632,122412,128574,116723,33901984,11851
2020-11-01T00:00:00Z,37266473,58897108,24817829,122955,129314,117172,34079279,12142
2020-11-02T00:00:00Z,37360780,59061443,24860760,123484,130009,117561,34200683,12448
2020-11-03T00:00:00Z,37453632,59198222,24888708,124002,130736,117974,34309514,12762
2020-11-04T00:00:00Z,37545074,59327358,24927263,124508,131443,118335,34400095,13108
2020-11-05T00:00:00Z,37635148,59401120,24944839,125002,132224,118691,34456281,13533
2020-11-06T00:00:00Z,37723896,59596671,24979948,125487,133002,119044,34616723,13958
2020-11-07T00:00:00Z,37811356,59696534,25024586,125963,133692,119396,34671948,14296
2020-11-08T00:00:00Z,37897569,59789989,25062355,126430,134341,119667,34727634,14674
2020-11-09T00:00:00Z,37982571,59946989,25101767,126888,135109,119972,34845222,15137
2020-11-10T00:00:00Z,38066399,60005243,25138069,127339,135945,120236,34867174,15709
2020-11-11T00:00:00Z,38149088,60063691,25172669,127779,136740,120465,34891022,16275
2020-11-12T00:00:00Z,38230673,60145182,25211281,128214,137487,120710,34933901,16777
2020-11-13T00:00:00Z,38311187,60374951,25249696,128639,138315,120963,35125255,17352
2020-11-14T00:00:00Z,38390662,60587910,25287411,129054,138972,121169,35300499,17803
2020-11-15T00:00:00Z,38469129,60757964,25319893,129462,139801,121363,35438071,18438
2020-11-16T00:00:00Z,38546620,61032754,25343941,129862,140645,121596,35688813,19049
2020-11-17T00:00:00Z,38623163,61157865,25350832,130254,141371,121796,35807033,19575
2020-11-18T00:00:00Z,38698787,61441631,25377410,130640,142065,121966,36064221,20099
2020-11-19T00:00:00Z,38773520,61535519,25420269,131020,142953,122097,36115250,20856
2020-11-20T00:00:00Z,38847389,61609525,25453458,131395,143633,122267,36156067,21366
2020-11-21T00:00:00Z,38920420,61721808,25482713,131761,144457,122442,36239095,22015
2020-11-22T00:00:00Z,38992639,61938127,25493295,132120,145272,122607,36444832,22665
2020-11-23T00:00:00Z,39064070,62064189,25500419,132476,146152,122758,36563770,23394
2020-11-24T00:00:00Z,39134738,62302294,25517133,132826,146965,122920,36785161,24045
2020-11-25T00:00:00Z,39204666,62390243,25547304,133172,147713,123039,36842939,24674
2020-11-26T00:00:00Z,39273876,62447258,25556434,133512,148573,123139,36890824,25434
2020-11-27T00:00:00Z,39342391,62514988,25565231,133846,149369,123253,36949757,26116
2020-11-28T00:00:00Z,39410232,62688933,25575707,134171,150172,123350,37113226,26822
2020-11-29T00:00:00Z,39477419,62872050,25604113,134493,150861,123442,37267937,27419
2020-11-30T00:00:00Z,39543973,63119484,25633209,134811,151702,123529,37486275,28173
2020-12-01T00:00:00Z,39609914,63308022,25645057,135126,152634,123609,37662965,29025
2020-12-02T00:00:00Z,39675261,63614505,25662496,135436,153405,123705,37952009,29700
2020-12-03T00:00:00Z,39740031,63777863,25680305,135739,154063,123798,38097558,30265
2020-12-04T00:00:00Z,39804243,63880637,25697652,136041,155065,123867,38182985,31198
2020-12-05T00:00:00Z,39867915,63989394,25718309,136338,155725,123961,38271085,31764
2020-12-06T00:00:00Z,39931063,64073366,25729958,136632,156410,124040,38343408,32370
2020-12-07T00:00:00Z,39993704,64177408,25745096,136922,157162,124120,38432312,33042
2020-12-08T00:00:00Z,40055854,64415047,25760598,137209,157919,124195,38654449,33724
2020-12-09T00:00:00Z,40117528,64579973,25775662,137492,158776,124274,38804311,34502
2020-12-10T00:00:00Z,40178741,64589708,25795844,137770,159608,124313,38793864,35295
2020-12-11T00:00:00Z,40239508,64806208,25816151,138047,160417,124389,38990057,36028
2020-12-12T00:00:00Z,40299842,64862422,25821384,138321,161287,124441,39041038,36846
2020-12-13T00:00:00Z,40359759,64999242,25830153,138589,161939,124506,39169089,37433
2020-12-14T00:00:00Z,40419270,65205632,25842874,138857,162720,124554,39362758,38166
2020-12-15T00:00:00Z,40478389,65380164,25855297,139119,163391,124586,39524867,38805
2020-12-16T00:00:00Z,40537127,65562723,25867367,139379,164125,124637,39695356,39488
2020-12-17T00:00:00Z,40595498,65723823,25879092,139637,164974,124675,39844731,40299
2020-12-18T00:00:00Z,40653513,65904489,25888811,139892,165781,124719,40015678,41062
2020-12-19T00:00:00Z,40711182,66028912,25901595,140143,166467,124770,40127317,41697
2020-12-20T00:00:00Z,40768518,66077745,25912322,140392,167128,124802,40165423,42326
2020-12-21T00:00:00Z,40825529,66145479,25935743,140636,168023,124833,40209736,43190
