date,sap.crc.estim,sap.crc.low,sap.crc.high,sap.cuc.estim,sap.cuc.low,sap.cuc.high,sap.ctc.estim,sap.ctc.low,sap.ctc.high
2020-10-16T00:00:00Z,7430827,7197142,7686979,525553629,34626343,1060561378,532984455,42073312,1067983729
2020-10-17T00:00:00Z,7490540,7256092,7749192,529369647,34893791,1067081615,536860186,42398412,1074564273
2020-10-18T00:00:00Z,7548766,7313798,7810657,533063809,35153053,1073266764,540612574,42718779,1080794323
2020-10-19T00:00:00Z,7605479,7370558,7871135,536634210,35407282,1079138460,544239687,43031704,1086737759
2020-10-20T00:00:00Z,7660679,7427492,7931016,540079761,35657514,1084681991,547740439,43340876,1092312981
2020-10-21T00:00:00Z,7714366,7483300,7989619,543400160,35903737,1089891323,551114525,43644592,1097553633
2020-10-22T00:00:00Z,7766544,7538096,8046977,546595719,36148418,1094729272,554362262,43942991,1102450848
2020-10-23T00:00:00Z,7817224,7591282,8103472,549667371,36387462,1099273951,557484594,44237463,1107033461
2020-10-24T00:00:00Z,7866420,7644796,8158822,552616573,36623051,1103559655,560482992,44526744,1111360432
2020-10-25T00:00:00Z,7914155,7693404,8213040,555445243,36855550,1107569054,563359397,44809483,1115414781
2020-10-26T00:00:00Z,7960450,7738125,8266389,558155783,37083011,1111309118,566116232,45086597,1119171046
2020-10-27T00:00:00Z,8005335,7777125,8319445,560750937,37307635,1114749908,568756271,45358840,1122649327
2020-10-28T00:00:00Z,8048842,7810495,8371177,563233663,37525809,1117963390,571282504,45626697,1125881900
2020-10-29T00:00:00Z,8090992,7841637,8421935,565607189,37741954,1120912953,573698180,45889591,1128869100
2020-10-30T00:00:00Z,8131829,7872771,8472414,567874977,37954803,1123653648,576006805,46150041,1131619264
2020-10-31T00:00:00Z,8171383,7901203,8521015,570040500,38163643,1126215321,578211882,46406666,1134196972
2020-11-01T00:00:00Z,8209695,7926008,8570252,572107473,38365559,1128530265,580317167,46658739,1136540992
2020-11-02T00:00:00Z,8246798,7950912,8618034,574079574,38564055,1130702862,582326371,46907724,1138740571
2020-11-03T00:00:00Z,8282731,7972593,8665229,575960541,38759362,1132718500,584243271,47151108,1140756146
2020-11-04T00:00:00Z,8317528,7993183,8711108,577754055,38953689,1134570039,586071582,47386850,1142628798
2020-11-05T00:00:00Z,8351225,8011656,8756362,579463807,39144990,1136283739,587815031,47618255,1144350545
2020-11-06T00:00:00Z,8383861,8027999,8801063,581093437,39332762,1137852089,589477297,47845734,1145906231
2020-11-07T00:00:00Z,8415472,8042369,8845468,582646555,39516802,1139274169,591062027,48070559,1147365860
2020-11-08T00:00:00Z,8446090,8054757,8888898,584126574,39697201,1140591872,592572663,48289239,1148688494
2020-11-09T00:00:00Z,8475754,8066687,8931796,585536927,39875249,1141802814,594012679,48504964,1149919882
2020-11-10T00:00:00Z,8504496,8077411,8973677,586880906,40050491,1142927030,595385402,48716466,1151053078
2020-11-11T00:00:00Z,8532347,8086993,9013957,588161635,40222471,1143943754,596693981,48924379,1152085243
2020-11-12T00:00:00Z,8559340,8096500,9054275,589382219,40391425,1144899340,597941558,49132928,1153036272
2020-11-13T00:00:00Z,8585503,8104923,9092434,590545577,40556644,1145775072,599131079,49337712,1153924048
2020-11-14T00:00:00Z,8610872,8112275,9130533,591654552,40719250,1146564748,600265423,49532861,1154722075
2020-11-15T00:00:00Z,8635471,8119026,9168915,592711835,40879618,1147287042,601347304,49723659,1155444721
2020-11-16T00:00:00Z,8659331,8125255,9206813,593720011,41037662,1147955622,602379340,49911627,1156114136
2020-11-17T00:00:00Z,8682477,8130862,9243390,594681539,41190262,1148566537,603364014,50096047,1156731413
