date,seirf.arc.estim,seirf.arc.low,seirf.arc.high,seirf.auc.estim,seirf.auc.low,seirf.auc.high,seirf.atc.estim,seirf.atc.low,seirf.atc.high,seirf.crc.estim,seirf.crc.low,seirf.crc.high,seirf.cuc.estim,seirf.cuc.low,seirf.cuc.high,seirf.ctc.estim,seirf.ctc.low,seirf.ctc.high,seirf.crd.estim,seirf.crd.low,seirf.crd.high,seirf.cud.estim,seirf.cud.low,seirf.cud.high,seirf.ctd.estim,seirf.ctd.low,seirf.ctd.high,seirf.arc.width,seirf.auc.width,seirf.atc.width,seirf.crc.width,seirf.cuc.width,seirf.ctc.width,seirf.crd.width,seirf.cud.width,seirf.ctd.width
2020-10-16T00:00:00Z,1327489,1279650,1378463,4812818,4621592,4997442,6140307,5901242,6375905,7639420,7345484,7952336,45833012,43917519,47702435,53472432,51263003,55654771,107540,103379,112138,204489,196199,212447,312029,299578,324585,98813,375850,474663,606852,3784916,4391768,8759,16248,25007
2020-10-17T00:00:00Z,1315203,1268183,1366071,4767062,4578286,4948384,6082265,5846469,6314455,7701483,7405672,8017218,46188287,44259150,48070101,53889770,51664822,56087319,108809,104582,113481,206730,198344,214798,315539,302926,328279,97888,370098,467986,611546,3810951,4422497,8899,16454,25353
2020-10-18T00:00:00Z,1303000,1256271,1353630,4721638,4535354,4899644,6024638,5791625,6253274,7762920,7464581,8081056,46539911,44597642,48434542,54302831,52062223,56515598,110067,105773,114794,208951,200491,217072,319018,306264,331866,97359,364290,461649,616475,3836900,4453375,9021,16581,25602
2020-10-19T00:00:00Z,1290857,1244567,1340981,4676728,4493350,4853383,5967585,5737917,6194364,7823744,7522938,8144231,46888114,44932185,48796398,54711858,52455123,56940629,111313,106986,116097,211151,202621,219350,322464,309607,335447,96414,360033,456447,621293,3864213,4485506,9111,16729,25840
2020-10-20T00:00:00Z,1278826,1232750,1328158,4632237,4450986,4807427,5911063,5683736,6135585,7883964,7580568,8206675,47232778,45263626,49155281,55116742,52844194,57361956,112549,108200,117346,213332,204735,221652,325881,312935,338998,95408,356441,451849,626107,3891655,4517762,9146,16917,26063
2020-10-21T00:00:00Z,1266850,1221372,1316230,4588123,4409450,4760801,5854973,5630822,6077031,7943582,7638182,8268981,47574080,45592573,49508986,55517662,53230755,57777967,113769,109333,118603,215501,206793,223940,329270,316126,342543,94858,351351,446209,630799,3916413,4547212,9270,17147,26417
2020-10-22T00:00:00Z,1254963,1209924,1303865,4544457,4367419,4715117,5799420,5577343,6018982,8002622,7694880,8330001,47911987,45917468,49859560,55914609,53612348,58189561,114980,110466,119870,217648,208841,226115,332628,319307,345985,93941,347698,441639,635121,3942092,4577213,9404,17274,26678
2020-10-23T00:00:00Z,1243179,1198459,1291888,4501171,4325971,4670182,5744350,5524430,5962070,8061086,7751264,8390830,48246543,46239757,50207325,56307629,53991021,58598155,116181,111636,121112,219776,210930,228355,335957,322566,349467,93429,344211,437640,639566,3967568,4607134,9476,17425,26901
2020-10-24T00:00:00Z,1231475,1187175,1279554,4458367,4285250,4625846,5689842,5472425,5905400,8118945,7807317,8450501,48577873,46558370,50551100,56696818,54365687,59001601,117370,112789,122380,221887,212955,230574,339257,325744,352954,92379,340596,432975,643184,3992730,4635914,9591,17619,27210
2020-10-25T00:00:00Z,1219877,1176159,1267577,4416007,4245279,4582345,5635884,5421438,5849922,8176258,7862377,8509983,48905909,46874551,50892690,57082167,54736928,59402673,118546,113937,123552,223980,214957,232729,342526,328894,356281,91418,337066,428484,647606,4018139,4665745,9615,17772,27387
2020-10-26T00:00:00Z,1208364,1165169,1255349,4374071,4206042,4538450,5582435,5371211,5793799,8233010,7916984,8568274,49230756,47186636,51229854,57463766,55103620,59798128,119710,115051,124794,226051,216920,234838,345761,331971,359632,90180,332408,422588,651290,4043218,4694508,9743,17918,27661
2020-10-27T00:00:00Z,1196939,1154580,1243521,4332542,4166681,4496418,5529481,5321261,5739939,8289184,7971599,8626636,49552435,47496309,51564885,57841619,55467908,60191521,120864,116144,126022,228107,218900,236926,348971,335044,362948,88941,329737,418678,655037,4068576,4723613,9878,18026,27904
2020-10-28T00:00:00Z,1185623,1143694,1231655,4291403,4126769,4454082,5477026,5270463,5685737,8344833,8025539,8684127,49870945,47802292,51895927,58215778,55827831,60580054,122009,117269,127201,230144,220866,239003,352153,338135,366204,87961,327313,415274,658588,4093635,4752223,9932,18137,28069
2020-10-29T00:00:00Z,1174395,1132771,1219845,4250699,4088262,4410939,5425094,5221033,5630784,8399941,8078854,8740733,50186335,48106374,52222107,58586276,56185228,60962840,123142,118404,128361,232160,222830,241081,355302,341234,369442,87074,322677,409751,661879,4115733,4777612,9957,18251,28208
2020-10-30T00:00:00Z,1163266,1121848,1208270,4210304,4049866,4369182,5373570,5171714,5577452,8454514,8131221,8797389,50498627,48407528,52546914,58953141,56538749,61344303,124263,119493,129537,234163,224770,243131,358426,344263,372668,86422,319316,405738,666168,4139386,4805554,10044,18361,28405
2020-10-31T00:00:00Z,1152216,1111099,1196769,4170266,4011564,4328074,5322482,5122663,5524843,8508532,8183570,8853679,50807817,48705373,52868215,59316349,56888943,61721894,125374,120578,130682,236145,226654,245166,361519,347232,375848,85670,316510,402180,670109,4162842,4832951,10104,18512,28616
2020-11-01T00:00:00Z,1141270,1100606,1185213,4130723,3973674,4286967,5271993,5074280,5472180,8562026,8235107,8909139,51114058,49000066,53185681,59676084,57235173,62094820,126474,121663,131834,238109,228596,247135,364583,350259,378969,84607,313293,397900,674032,4185615,4859647,10171,18539,28710
2020-11-02T00:00:00Z,1130440,1090225,1173421,4091593,3935947,4245574,5222033,5026172,5418995,8615013,8286047,8963087,51417336,49291606,53500619,60032349,57577653,62463706,127566,122666,132956,240058,230468,249208,367624,353134,382164,83196,309627,392823,677040,4209013,4886053,10290,18740,29030
2020-11-03T00:00:00Z,1119712,1080098,1162336,4052804,3899195,4204931,5172516,4979293,5367267,8667493,8336652,9017783,51717612,49580820,53812288,60385105,57917472,62830071,128645,123745,134054,241989,232325,251250,370634,356070,385304,82238,305736,387974,681131,4231468,4912599,10309,18925,29234
