Date,active.case,total.case,total.death
2020-03-15T00:00:00Z,97,112,2
2020-03-16T00:00:00Z,110,126,2
2020-03-17T00:00:00Z,128,146,3
2020-03-18T00:00:00Z,153,171,3
2020-03-19T00:00:00Z,174,198,4
2020-03-20T00:00:00Z,229,256,4
2020-03-21T00:00:00Z,307,334,4
2020-03-22T00:00:00Z,373,403,7
2020-03-23T00:00:00Z,463,497,9
2020-03-24T00:00:00Z,521,571,10
2020-03-25T00:00:00Z,603,657,11
2020-03-26T00:00:00Z,664,730,16
2020-03-27T00:00:00Z,789,883,19
2020-03-28T00:00:00Z,910,1019,24
2020-03-29T00:00:00Z,1010,1139,27
2020-03-30T00:00:00Z,1148,1326,41
2020-03-31T00:00:00Z,1438,1635,47
2020-04-01T00:00:00Z,1837,2059,53
2020-04-02T00:00:00Z,2285,2545,69
2020-04-03T00:00:00Z,2792,3105,83
2020-04-04T00:00:00Z,3302,3684,96
2020-04-05T00:00:00Z,3846,4293,118
2020-04-06T00:00:00Z,4249,4777,134
2020-04-07T00:00:00Z,4720,5350,161
2020-04-08T00:00:00Z,5169,5915,181
2020-04-09T00:00:00Z,5866,6728,227
2020-04-10T00:00:00Z,6564,7599,249
2020-04-11T00:00:00Z,7191,8453,290
2020-04-12T00:00:00Z,7793,9211,332
2020-04-13T00:00:00Z,8897,10454,359
2020-04-14T00:00:00Z,9724,11485,396
2020-04-15T00:00:00Z,10439,12371,423
2020-04-16T00:00:00Z,11216,13432,449
2020-04-17T00:00:00Z,11827,14354,487
2020-04-18T00:00:00Z,12737,15725,522
2020-04-19T00:00:00Z,13891,17305,560
2020-04-20T00:00:00Z,14678,18544,593
2020-04-21T00:00:00Z,15459,20081,646
2020-04-22T00:00:00Z,16321,21373,682
2020-04-23T00:00:00Z,17306,23040,722
2020-04-24T00:00:00Z,18171,24448,781
2020-04-25T00:00:00Z,19520,26283,825
2020-04-26T00:00:00Z,20486,27890,881
2020-04-27T00:00:00Z,21416,29458,939
2020-04-28T00:00:00Z,22613,31360,1008
2020-04-29T00:00:00Z,23557,33065,1079
2020-04-30T00:00:00Z,24653,34866,1154
2020-05-01T00:00:00Z,26010,37262,1231
2020-05-02T00:00:00Z,27651,39826,1323
2020-05-03T00:00:00Z,29552,42778,1463
